"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"VOLTAGE_RATING";"WATTAGE";
"2";"944-12-46-00";"944-12-46-00";"2,54_STIFTLEIST_2X23";"X1, X2";"2.54 mm 2 - reihiger male connector";"";"";"944-12-46-00";"";"";"";"";"W+P";"";"";"";"";"";
"1";"ABS10-32.768KHZ-7-T";"ABS10-32.768KHZ-7-T";"ABS-10";"U19";"Crystal";"";"ABRACON";"ABS10-32.768KHZ-7-T";"2101351";"";"";"";"ABRACON";"";"";"";"";"";
"1";"BATTERY_COIN_CLIP";"BATTERY_COIN_CLIP";"BAT_HOLDER_16MM";"BAT1";"Battery Coin Holder 16mm";"";"KEYSTONE";"3013";"1650698";"";"";"16mm";"Keystone";"";"";"";"";"";
"1";"MCP7940N-I/SN";"MCP7940N-I/SN";"SOIC127P600X175-8N";"U8";"I2C™ Real-Time Clock/Calendar with SRAM,SOIC-8";"";"MICROCHIP";"MCP7940N-I/SN";"2361122";"";"26T2748 ";"SOIC-8";"MICROCHIP";"";"";"";"";"";
"1";"PMEG2005ET";"PMEG2005ET";"SOT95P280X145-5N";"U9";"500 mA low VF single MEGA Schottky barrier rectifier";"";"NXP";"PMEG2005ET";"1510672";"";"";"SOT-23-3";"NXP";"";"";"";"";"";
"4";"Q-063209";"Q-063209";"063209";"X5, X6, X7, X8";"Male Connector SMC-Q 26 contacts Standard Assembly Height";"";"";"";"unknown";"";"unknown";"";"";"";"";"";"";"";
"4";"S2L3.50/8/90G";"S2L3.50/8/90G";"S2L-90G-8";"X9, X10, X11, X12";"OMNIMATE S2L3.50/8/90G Fa. Weidmüller";"";"";"";"";"";"";"";"Weidmüller";"";"";"";"";"";
"7";"TCMT4106";"TCMT4106";"SOP-16";"OC1, OC2, OC3, OC4, OC5, OC6, OC7";"4 - Kanal Optokoppler";"Vishay";"";"TMCT4106";"";"";"";"SOT-16";"";"";"";"";"";"";
"3";"VNI4140K-32";"VNI4140K-32";"SOP80P1030X247-25N";"U1, U2, U3";"Quad high-side smart power solid-state relay,power SSO-24";"";"STMICROELECTRONICS";"VNI4140K-32";"2309423";"511-VNI4140KTR-32 ";"";"SO-24";"STMICROELECTRONICS";"";"";"";"";"";
"1";"WS-TST-90°";"WS-TST-90°";"WS-TST-90°";"T1";"Tact Switch";"";"WURTH ELEKTRONIK";"431256038726";"2065135";"";"";"";"Wuerth Electronic";"";"";"";"";"";
